state,state_name,is_swing,electoral_votes,trump_votes,harris_votes,kennedy_votes,total_votes,trump_vote_share,harris_vote_share,other_vote_share,margin,winner,electoral_votes_trump,electoral_votes_harris
AK,Alaska,False,3,184458,140026,5670,338177,0.5454480937497228,0.4140612756041954,0.04049063064608177,0.13138681814552738,Trump,3,0
AL,Alabama,False,9,1462616,772412,12075,2265090,0.6457209205815222,0.3410072005968858,0.013271878821592031,0.3047137199846364,Trump,9,0
AR,Arkansas,False,6,759241,396905,13255,1182676,0.6419687217800987,0.3355990989924544,0.022432179227446947,0.3063696227876443,Trump,6,0
AZ,Arizona,True,11,1770242,1582860,0,3390161,0.522170480988956,0.4668981797619641,0.010931339249079852,0.05527230122699189,Trump,11,0
CA,California,False,54,6081697,9276179,197645,15865475,0.38332902103466804,0.58467704244594,0.031993936519391974,-0.20134802141127195,Harris,0,54
CO,Colorado,False,10,1377441,1728159,35623,3192745,0.4314284416700989,0.5412768636392822,0.02729469469061896,-0.10984842196918326,Harris,0,10
CT,Connecticut,False,7,736918,992053,8448,1759010,0.4189390623134604,0.5639837181141665,0.01707721957237318,-0.14504465580070608,Harris,0,7
DC,District of Columbia,False,3,21076,294185,2778,325869,0.06467629630311567,0.9027707452994915,0.032552958397392806,-0.8380944489963759,Harris,0,3
DE,Delaware,False,3,214351,289758,4636,512912,0.41790989487475433,0.5649273169666531,0.017162788158592512,-0.14701742209189878,Harris,0,3
FL,Florida,False,30,6110125,4683038,0,10893752,0.5608834311631108,0.42988292738810285,0.009233641448786356,0.13100050377500794,Trump,30,0
GA,Georgia,True,16,2663117,2548017,0,5250905,0.5071729539955493,0.4852529230675474,0.007574122936903294,0.021920030928001877,Trump,16,0
HI,Hawaii,False,4,193661,313044,0,516701,0.3748028356825321,0.6058513531036325,0.019345811213835384,-0.23104851742110039,Harris,0,4
IA,Iowa,False,6,927019,707278,13122,1663506,0.5572682034209675,0.425173098263547,0.01755869831548551,0.1320951051574205,Trump,6,0
